2443926	3629549	934819	344920	345303	403431	504618	465678	414058	446127	450244	675902	3552324	8283614	8049533	3597247	1458267	1027202	1064325	2765958	7898672	15333629	21421305	22226486	14209709	5962561	2455784	1509388	1262351	1193411	856094	632388	473738	449603	1233027	3129983	4098752	5097715	3653968	1989863	1282507	885493	908757	1695089	2284675	1456133	1050277	1256698	1457717	1683190	1684450	1846306	2139261	2243591	2113002	1856463	1597280	1340170	1045359	649157	425970	290818	245271	232986	213555	191873	178737	178865	171612	175595	166285	159136	159628	151921	150264	136422	130426	128902	118973	117834	120466	120034	115778	117265	109729	105508	109345	111251	107368	112205	123475	105397	103856	103848	99492	97201	97066	99309	98240	101502	95955	88372	85954	88883	94273	103026	99948	96788	93862	93534	89327	98987	93748	86465	90025	89738	85093	86116	89441	89359	89962	91725	87879	89973	86055	81751	80736	87199	86266	80408	81666	82326	84252	87339	82399	90302	92880	87909	84031	80186	89432	88334	101632	102201	91968	86339	91857	94185	106892	107467	106598	95428	90986	88846	91741	91776	94001	80863	76310	73371	73460	63423	62059	57581	55909	56729	61097	56272	56351	49810	47091	47320	54456	51668	51151	49906	48779	48711	49591	56289	56771	50180	50628	50559	51485	54346	55312	53504	53292	53840	58038	58773	58575	59189	60679	61393	61389	63391	63360	67085	70452	69758	70217	72885	70325	72061	73382	77970	79034	77423	78177	78816	83466	84934	86342	84543	86092	87053	91680	89728	87607	88786	92756	94157	94981	92945	95139	99268	99659	100934	100797	95505	100469	100484	103572	99114	104560	104117	106426	105512	105199	103044	104814	106097	106232	109707	110538	113306	110878	107184	112635	113956	111524	108113	112072	112747	
2308606	3384075	875715	392000	412879	458424	585170	505209	462325	475989	490790	680469	3727873	8336692	6434183	2934569	1336426	997129	1060143	2650883	7613443	14661091	21454416	22063467	13628043	5724041	2627392	1302827	877998	784612	625222	573100	500471	583670	1305942	3919223	5008306	4748668	3371618	1706110	1257884	1251662	1341138	2226019	3115598	2265256	1658806	1780456	1839635	2593665	2825819	2907050	2968111	2381886	2045661	1802948	1640377	1293516	1064538	774725	474898	324725	267990	219229	208852	202755	179414	175923	166021	171803	157301	139327	141827	147505	143848	138062	125638	119853	123811	113328	113215	116611	115124	110490	112359	108994	102952	110717	109863	112193	109547	106464	99762	94290	95477	97948	101450	97208	97346	101257	104568	99113	97978	100325	109840	113227	102534	99030	94399	94859	97186	98604	99070	98530	97530	92415	90363	90322	98306	95542	94079	93877	87418	84278	84312	84321	80777	84421	87996	84188	85867	88869	84158	79099	81624	93326	95657	87969	85900	91762	94027	92279	89905	97638	92575	88895	103636	102267	102950	93265	92470	90850	96483	93981	89692	81126	81821	83425	79024	77630	76157	60554	56245	54060	55054	57377	58465	56872	55054	50262	46639	46226	46000	45940	47638	50295	49537	50020	50864	50939	52424	51187	49699	51075	50064	51113	53415	54496	55590	56188	56430	58962	58256	60318	59177	62074	59916	62714	64930	65816	64151	66485	69468	70731	71554	70305	74418	76710	76584	76762	80222	77661	77727	82265	81604	81760	83238	84674	83502	89606	89620	88397	91504	93625	93471	90470	96891	98212	97898	101127	101955	99420	100436	104598	101956	105472	104366	104799	106073	108169	114079	110701	114197	117751	130630	140872	135326	117282	115456	117817	115158	111045	112672	112603	113099	110001	
2024027	2887531	780662	375812	386067	466341	545273	477242	417312	433444	468535	683700	3800925	8371573	7686385	3231657	1467471	1058411	1166527	2632208	7669642	14783923	21384766	23436044	16073169	6839510	2566353	1200560	944606	715299	596176	600200	507292	548331	702805	1560379	2709661	2571869	1925425	1005231	980622	1066785	1124683	1601918	1901534	1479770	1413550	1711808	1747995	2115532	2233233	2381659	2522239	2132103	2055165	1726659	1540065	1310928	902897	605633	437092	301356	247183	218751	206378	202753	173097	175308	163891	166193	164069	142085	138001	138374	131351	133131	125076	124828	121430	122322	119334	120640	116973	107182	107443	108265	103643	105549	100186	103880	99141	96117	97044	99162	96287	90845	94002	91961	90995	88956	90146	90149	85327	88172	90913	97219	94137	93537	89515	91751	89976	95320	94386	88334	88249	85168	81942	91101	86318	88519	90261	82841	79883	82350	85979	87503	78771	78547	78289	80005	76234	83092	83000	78651	80429	91919	93562	83841	79414	77011	80411	83225	87371	83088	77647	76147	75770	90226	90443	84788	80449	81114	81193	81966	77185	72479	73556	72277	69191	75512	66744	56496	52401	48946	48984	46959	51199	48067	46353	46951	47521	45208	45864	46615	43474	47602	46899	49133	51337	48716	48170	46694	47008	50025	50053	50764	52150	51440	53800	53593	54339	54889	55575	57252	60825	62914	60398	63021	62574	65204	65046	66113	68538	70686	71150	71273	71920	74391	78436	78624	75763	79366	78980	83171	81891	83207	86092	87427	89440	88995	92116	90004	93225	96484	96104	95962	95275	92218	94760	99015	102410	100512	101517	104431	102607	103143	105680	108533	106784	111910	110120	110302	107808	111448	121681	133076	138348	131161	118926	113649	117014	110580	109885	110290	109963	108259	
1175816	1715349	623852	377176	366412	441594	557899	516739	462069	457869	481241	697174	3473405	8900404	8043764	3129329	1482202	997148	1134184	2921185	7822994	15462800	21598667	21749303	14403983	7363972	3850204	1734705	1154317	855801	605503	614964	673790	1025291	2047673	2416260	1925377	2445419	2429933	3113892	2797860	1012025	900783	1641214	2618098	1821925	1376085	1314332	1375328	1632606	1697476	1765856	1887455	1803478	1813343	1498611	1380332	1145464	839132	526350	357444	273313	233813	200409	186415	181127	177063	170219	166718	159179	150363	141238	129799	125235	128394	128563	120715	117773	121048	124117	114628	109797	109982	107654	106576	100579	101777	99483	99534	105661	120126	99128	94833	99651	100090	89118	88451	85145	89049	86981	88162	85534	92360	86888	85975	93845	94082	90645	90842	90688	88328	94105	92473	83936	87273	88240	88037	91116	88291	90410	89729	89017	87772	91917	87039	88453	80888	84721	91311	85469	77772	83284	83277	84942	90819	92669	81520	76888	81778	96310	110317	94160	80089	79396	79214	76422	85869	93438	85033	87443	88783	84663	94077	90568	76468	82109	82434	78311	74862	77253	70904	58064	54062	53763	54005	53782	51216	47739	48206	47499	46881	46918	47554	47082	46433	45166	45078	49086	51465	63036	63786	52397	48624	50683	50486	52499	52801	52603	53257	55325	54020	56654	58204	58169	57069	60461	62621	64845	66841	65837	66894	65183	67630	72128	71505	69928	73793	74330	75305	76450	79189	81846	85249	82489	80452	82469	85030	86474	85816	85861	89858	89597	92956	92812	95382	94590	94149	95449	94794	97606	97557	97947	99446	102013	99682	104059	106417	109005	107934	105874	109124	107984	101935	107348	107812	107020	114078	111362	106754	108135	111025	112293	110428	108289	112719	108548	
1806023	2613009	896390	465523	386177	417829	545627	499149	458683	476510	467108	681492	3567223	9805579	9321726	3712615	1588830	1026265	1029041	2702208	7354196	15326673	22996445	24054033	16438197	8185747	3895033	1805385	1188112	1035197	695678	582148	639451	776189	2083234	3336674	4186533	4461007	3043081	2084014	1082313	967443	1015418	1482223	1848784	1433073	1334883	1531786	1554352	1975103	2205560	2318052	2440199	2221858	2024141	1791356	1514740	1229796	884089	643233	449397	326440	274700	233046	209832	196821	178993	174371	170441	159269	148279	142551	133067	136574	137825	134431	128806	126995	120837	124550	122317	117779	109581	106504	104462	101281	98621	104742	104435	100083	100908	98322	98755	94808	100460	93114	91477	94351	91074	93021	94026	90892	91999	95996	104958	103553	99752	98649	94503	98565	94565	95011	94754	90225	93749	89119	84296	82370	79542	87177	87401	90449	85410	81707	80649	77919	76190	81448	80618	82601	74191	77457	82236	81528	83024	91655	84821	79111	75546	81870	88033	88951	83226	81415	75742	80045	84262	87387	87227	79517	79355	84469	92038	90217	81163	75623	65863	70158	68963	79575	69627	56098	51038	50314	48834	56540	53595	48125	48028	44553	48011	44293	45152	44880	44231	46448	45870	46674	48809	50178	49504	48186	48201	48474	49604	53346	51823	52614	57060	54424	53487	55973	58765	58587	59633	60399	61645	61085	64266	65954	66673	66889	68775	72293	73459	75282	73651	76278	79272	77886	77631	75901	81149	83858	79653	84648	85543	85129	89831	86279	88569	90781	89464	88572	90187	92668	97937	97604	97329	100396	98047	97989	99775	98810	106667	106162	106497	107940	108075	109808	107593	108872	113801	119189	122195	120328	115258	108490	110686	111000	112897	106203	109060	109293	108472	110684	
2698765	4018751	1166869	424023	383641	452901	563337	496340	455220	462358	461470	689352	3442644	9481467	8987723	3558117	1473543	1032436	1128098	2844748	6833882	12686451	18859056	20592322	15125042	8853791	4108512	2056205	1238816	932684	678351	681838	536631	484618	1082132	2481629	4872396	5299412	4117072	4521570	3108472	1327543	1000780	1117561	1601963	1434162	1312341	1298994	1414661	1664491	2028588	2005820	2109734	1960056	1768162	1505385	1314210	1118968	856394	516945	388530	304490	235809	203642	188284	177102	169704	160266	164391	153704	152559	144007	132607	136456	137083	128192	121228	123585	122573	121349	122378	111855	110228	107271	104076	104135	103818	103008	99314	98726	98041	97698	96568	95988	92649	91527	92454	90361	92938	93057	91659	92273	93311	92353	94668	99830	92078	89707	92704	93852	90203	101918	100550	88939	83704	90716	92236	92599	88905	84698	90328	91224	89535	84314	86795	82256	75009	83576	94942	94245	89877	80201	83168	85137	93949	97502	86880	80726	86627	95022	110960	90623	79765	80007	78798	84338	85557	86141	86157	85811	91113	95045	102556	95282	72934	78349	79008	75689	78955	70938	61299	56566	52538	53993	56461	52122	50230	43646	45072	53861	52405	46054	44430	45789	47256	44097	47073	47584	50313	47834	46389	51175	48642	49294	48345	51493	51545	52281	55777	54422	55092	56192	56606	58216	57568	57384	59924	64297	62511	64893	65306	64800	65602	67106	67342	73634	79684	75139	74132	73037	77175	79336	80629	81439	85131	87576	90220	87862	90713	87585	89467	92161	90035	88246	91767	90703	95988	96323	97526	99159	98583	98531	98499	100506	104220	98818	102982	104002	100910	107439	108366	106370	117871	131285	143047	141605	127054	118517	111661	113427	111867	106836	106547	108784	108616	108783	
3152906	4749485	1279015	422231	384302	448899	521431	469837	447683	454038	456089	665897	3035246	8540042	8424118	3167883	1512745	1026474	1187536	3287164	8506415	15575108	20336734	20276528	12921572	7836086	4384180	1700217	1017563	863069	694256	790208	679265	596670	1341701	1624215	1705437	2087354	1799444	1271465	1137550	894278	751842	985347	1748342	1615045	1056624	901847	1074912	1317010	1468153	1596248	1623951	1449523	1380988	1327716	1198534	1035818	717998	430449	325289	253036	215656	199276	186928	184698	176905	173692	174328	167178	163737	157523	145519	141110	144214	139214	134744	134403	129819	126929	121315	124028	120354	114658	115425	115800	111803	116910	112006	123704	130985	107237	100918	103775	101805	104957	105132	101388	93972	95875	93360	93516	93093	90569	94434	96063	94886	94355	99880	99843	94223	96153	96673	98980	101700	100003	89395	91460	89706	93471	94369	92018	94184	89852	86925	81937	89605	91576	98749	90872	83038	83607	97818	98019	91182	90977	88696	84658	93822	97680	102301	89496	82958	89875	84640	88613	97397	95460	90025	86510	79874	86802	92691	86036	83139	89987	80591	70283	74750	70987	71368	68184	58870	52403	57657	54304	51334	51641	47654	48065	50024	49456	47508	49021	49958	49850	46321	46964	48080	61113	64328	49941	49775	48771	51504	51901	55197	52226	53339	53517	54712	57276	57678	62396	61294	58887	58812	62120	64257	61925	65339	66169	65744	65568	70673	71813	75602	73546	74408	75677	75989	80819	82299	83209	82610	86232	85931	88837	88491	89257	90095	90808	96395	93679	92725	95160	93391	93837	99243	98751	99623	98111	100117	98318	103710	107479	106098	105886	103792	102960	108292	111428	106897	119490	125643	127635	117355	114873	111621	112805	115271	112761	108329	105715	107643	110096	
1793694	2554337	742805	398146	425089	459140	575174	499171	475868	518899	508330	668794	3421000	9320338	8902769	3720473	1724592	1300824	1328389	2976035	7666015	13532003	20118975	20928382	15015673	9443413	4739792	1909707	1165708	970093	788459	759492	704045	1001970	2099335	3882352	4226741	5402527	4854215	2388308	1108493	906529	1116234	1601325	1898697	1468103	1272711	1460229	1471609	1904091	2002919	2252665	2265726	2073537	1994404	1729516	1450612	1236387	888679	577355	418415	328175	257678	230568	207968	190407	188734	163725	157552	159319	158224	154375	150084	141645	141412	139501	131483	127716	126887	119661	117862	119025	123324	114382	110229	106047	104553	106423	102514	110444	116325	104683	101607	107225	96928	92445	98141	96846	94149	94210	95868	95957	96276	92401	90683	90696	97959	102069	101402	103246	96397	98331	105142	105198	101708	98029	101066	92299	98721	100093	96803	88945	95161	102396	98687	95718	89019	86898	91573	101053	95761	99189	99859	93332	95872	99199	94546	83386	99321	102288	110240	103263	99982	88213	90421	90935	95728	99007	102905	89902	91580	99558	100429	93314	94547	82399	79548	72811	82529	84897	80886	65989	57709	56322	54969	59830	59322	53051	50435	45337	50117	49634	51168	48567	48810	49971	48240	52615	52565	59124	56111	50112	50465	51605	53274	55518	52623	57991	57799	55552	55959	56482	57419	57322	59168	59376	61369	64948	66594	67007	66864	70558	68712	70688	73270	71346	72543	74418	76079	76909	75572	77412	81009	81162	81199	84519	87400	91799	88948	85614	87392	90704	93156	91408	90038	92383	93876	93807	96204	97600	100751	97555	98055	102332	107050	104491	104085	100999	100407	106136	109966	106373	103677	107565	105979	104778	109921	107467	107907	113122	107862	111045	110918	108714	105966	109487	
1232508	1910258	636069	379332	408379	473623	589974	531359	459677	496431	529655	632732	3293655	9781897	9368436	3499312	1313149	1007083	1186519	3125967	8248046	15775099	19426891	19326962	13880960	7649548	3693469	1938967	1215504	961662	747828	695998	512562	526589	737985	698998	1364428	2696717	2119995	1966599	3232334	2805316	1771770	1755399	2200777	1924543	1838169	2018763	2027544	2424678	2393977	2578214	2727222	2434751	2174924	1860660	1660917	1371331	965010	599135	401988	296320	253644	231343	212300	200315	187650	175312	165654	153638	152065	152483	148005	151587	153385	138381	121776	121641	125472	125618	129600	134396	123006	108007	112396	110119	112005	111848	113098	105754	101692	101537	95200	100629	98759	95303	94779	102419	96454	100363	99038	95326	95553	101538	102354	104944	107734	98697	98437	97834	97233	98501	107520	106185	99165	99083	95186	99239	97360	93884	98189	106392	101913	97639	99429	95049	100347	98447	95618	90124	88677	97523	101560	105566	101355	103274	99871	103802	96589	108376	114370	112859	109564	113785	103355	98342	102757	108568	103999	109331	98488	97132	91678	93099	86502	89121	81153	80784	77880	76408	71528	67234	59355	59187	55308	55001	54419	52892	52760	52227	49119	48301	48537	48967	48351	46827	48495	51671	54872	52830	51520	50059	51278	51102	50819	51157	53348	52870	53119	52695	54376	59733	58568	59006	60617	61449	60826	64126	65400	65039	63596	65214	66552	67861	70360	72196	72070	75706	74692	76251	78932	79598	81378	84014	84773	85609	89379	86139	87826	91252	92213	95081	92106	93956	93621	96049	98049	97413	98209	98372	99698	103852	103738	105528	107739	108618	108803	107111	110507	109070	111352	115579	135173	143856	140586	128246	114896	111166	116713	112561	110458	117339	116821	113701	111146	112286	
945518	1623396	681576	430874	442687	514480	612773	561073	525139	570961	559598	649145	3335173	10649122	10283770	3854451	1664849	1206979	1338422	3654709	9413245	15774944	19582542	20277345	13683182	6489288	3062310	1495983	1145747	1091936	882273	716387	602966	706192	1809591	2917430	4619776	6919016	5107854	3580179	3984156	1810178	1160885	1551523	2024291	1875576	1614028	1739320	1867685	2370080	2475587	2511638	2480800	2278440	1865311	1695758	1516122	1187436	926838	622679	411430	319326	256827	219427	213565	196481	180205	181378	173463	165913	159733	153219	153308	154807	153062	140699	139406	131247	123045	132094	131587	115432	120562	121491	114608	118261	113819	114334	116009	111559	107336	107086	107504	103931	100727	102795	103318	101745	103168	103856	110418	107177	107182	100047	103618	104354	95461	100319	96578	97170	103031	109630	105127	98095	105182	101719	100971	109058	99407	99538	103781	100771	99191	102274	99163	95942	95026	99884	102097	103460	93760	101003	105653	115957	114788	118042	111137	94412	101593	104687	112787	113809	122957	112159	106602	103752	101244	118082	116301	113216	97235	102049	105977	114333	105798	99451	100645	88338	84230	91441	79715	66484	59963	58625	61708	65947	65532	56614	54216	55526	53696	53228	54739	52640	51315	55074	51541	52777	53559	52447	51227	52565	53367	54112	54862	55857	53927	53942	56001	56649	55932	57508	58565	57502	58798	60627	64789	63930	65350	65416	67358	67059	68716	70650	71101	72595	73806	74201	76231	75543	78359	79376	82077	80572	86470	86302	83682	85015	86485	88091	90305	89044	90112	93322	95956	98849	98837	99916	100696	94497	97499	95355	103546	99760	100382	101983	102646	100422	103320	110150	112990	111874	119248	128946	131833	131824	122231	120367	114587	117806	111150	108238	110251	112694	112841	110187	
