PowTotAll	FreqTotAll	AciTotAll	ShannonAll	AciIfTotAll	LevAll	LevDiffAll	LevRappAll	EvennessAll
817701808	1437549	1908.621897	41.851329	818.308118	2454.000000	88.000000	0.035860	255.342711	
-1998723680	1317829	1750.366482	40.415984	749.041873	2222.000000	129.000000	0.058056	254.142271	
